paper_id,doi,title,year,journal,authors,abstract_keywords
1,10.1002/(sici)1521-3765(19980710)4:7<1312::aid-chem1312>3.0.co;2-k,"Synthesis, Structure, and Physicochemical and Catalytic Characterization of the Novel High‐Silica Large‐Pore Zeolite SSZ‐42",1998,,,
2,10.1002/(sici)1521-3773(19980817)37:15<2122::aid-anie2122>3.0.co;2-6,SSZ‐23: An Odd Zeolite with Pore Openings of Seven and Nine Tetrahedral Atoms,1998,,,
3,10.1002/(sici)1521-3773(19990301)38:5<653::aid-anie653>3.0.co;2-c,An Open-Framework Germanate with Polycubane-Like Topology,1999,,,
4,10.1002/(sici)1521-3773(19990503)38:9<1269::aid-anie1269>3.0.co;2-3,SSZ‐35 and SSZ‐44: Two Related Zeolites Containing Pores Circumscribed by Ten‐ and Eighteen‐Membered Rings,1999,,,
5,10.1002/(sici)1521-3773(19990712)38:13/14<1997::aid-anie1997>3.0.co;2-u,ITQ‐7: A New Pure Silica Polymorph with a Three‐Dimensional System of Large Pore Channels,1999,,,
6,10.1002/(sici)1521-3773(19991004)38:19<2891::aid-anie2891>3.0.co;2-x,Combinatorial Methods for the Synthesis of Aluminophosphate Molecular Sieves,1999,,,
7,10.1002/1099-0682(200105)2001:5<1167::aid-ejic1167>3.0.co;2-z,Synthesis and Characterization of Epitaxial FAU‐on‐EMT Zeolite Overgrowth Materials,2001,,,"['29si magic angle spinning', 'appropriate synthesis parameters made', 'epitaxial fau zeolite films']"
8,10.1002/1439-7641(20021018)3:10<892::aid-cphc892>3.0.co;2-h,New Insights into the Spatial Distribution of Aluminium in Various Mesoporous Aluminosilicates,2002,,,"['external surface catalyse', 'mms supported catalysts', 'pore wall surfaces']"
9,10.1002/1521-3765(20010401)7:7<1437::aid-chem1437>3.0.co;2-m,"One‐Step Synthesis of a Highly Active, Mesoporous, Titanium‐Containing Silica by Using Bifunctional Templating",2001,,,"['free triethanolamine form meso', 'template mesopores upon increasing', 'triethanolamine easily forms complexes']"
10,10.1002/1521-3765(20010504)7:9<1990::aid-chem1990>3.0.co;2-g,Studies of the Synthesis of SSZ‐25 Zeolite in a “Mixed‐Template” System,2001,,,
11,10.1002/1521-3765(20010903)7:17<3722::aid-chem3722>3.0.co;2-j,"Cationic Host–Guest Polymerization of N‐Vinylcarbazole and Vinyl Ethers in MCM‐41, MCM‐48, and Nanoporous Glasses",2001,,,"['dynamic glass transition ).', 'adjusted within certain limits', 'lower molecular weight systems']"
12,10.1002/1521-3765(20021004)8:19<4549::aid-chem4549>3.0.co;2-z,Incommensurate Modulation in the Microporous Silica SSZ‐24,2002,,,"['29si mas nmr experiments', 'several phonon branches soften', 'incommensurate structural modulation along']"
13,10.1002/1521-3765(20021018)8:20<4708::aid-chem4708>3.0.co;2-u,Selective and Shape‐Selective Baeyer–Villiger Oxidations of Aromatic Aldehydes and Cyclic Ketones with Sn‐Beta Zeolites and H2O2,2002,,,"['different molecular shapes', '18o labeling experiments', 'corresponding hydrolyzed product']"
14,10.1002/1521-3765(20021115)8:22<5153::aid-chem5153>3.0.co;2-e,Mechanism of CIT‐6 and VPI‐8 Crystallization from Zincosilicate Gels,2002,,,"['whereas crystal growth involves', '8 crystalline phase appears', 'tea +), li']"
15,10.1002/1521-3773(20000703)39:13<2346::aid-anie2346>3.0.co;2-b,"Synthesis, Characterization, and Catalytic Activity of a Large‐Pore Tridirectional Zeolite, H‐ITQ‐7",2000,,,
16,10.1002/1521-3773(20001002)39:19<3419::aid-anie3419>3.0.co;2-r,Spectroscopy of the Formation of Microporous Transition Metal Ion Containing Aluminophosphates under Hydrothermal Conditions,2000,,,
17,10.1002/1521-3773(20010601)40:11<2166::aid-anie2166>3.0.co;2-c,A Large 24‐Membered‐Ring Germanate Zeolite‐Type Open‐Framework Structure with Three‐Dimensional Intersecting Channels,2001,,,
18,10.1002/1521-3773(20010618)40:12<2277::aid-anie2277>3.0.co;2-o,Pure Polymorph C of Zeolite Beta Synthesized by Using Framework Isomorphous Substitution as a Structure‐Directing Mechanism,2001,,,"['germanium preferentially occupies positions', 'zeolite beta allows', 'secondary building units']"
19,10.1002/1521-3773(20020201)41:3<469::aid-anie469>3.0.co;2-k,Direct Evidence for the Nonrandom Nature of Al Substitution in Zeolite ZSM‐5: An Investigation by 27Al MAS and MQ MAS NMR,2002,,,"['27al mas nmr measurements', '27al mqmas spectra', 'ray diffraction data']"
20,10.1002/1521-3773(20020201)41:3<476::aid-anie476>3.0.co;2-s,Hydrothermal Synthesis of Molecular Sieve Fibers: Using Microemulsions To Control Crystal Morphology,2002,,,"['aluminophosphate molecular sieve alpo4', '200 nm thick fibers', 'scale 1 mm']"
21,10.1002/1521-4079(200208)37:8<803::aid-crat803>3.0.co;2-q,Synthesis and Crystal Structure of Open Framework Zinc‐Cobalt Phosphate with Zeolite DFT Topology,2002,,,
