route_id,primary_topology,secondary_phase,tertiary_phase,primary_product,secondary_product,tertiary_product,failure_label,framework_density,largest_free_sphere,accessible_volume_izc,largest_included_sphere,framework_descriptor_json
1,AFI,,,SSZ-24,,,success,16.9,6.7218,14.07,7.34222,"{""volume"": 1337.542229444557, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 4.0, ""framework_density"": 16.9, ""largest_free_sphere"": 6.7218, ""accessible_volume_izc"": 14.07, ""largest_free_sphere_a"": 1.17144, ""largest_free_sphere_b"": 1.16073, ""largest_free_sphere_c"": 6.7218, ""largest_free_sphere_izc"": 7.42, ""largest_included_sphere"": 7.34222, ""largest_free_sphere_a_izc"": 2.22, ""largest_free_sphere_b_izc"": 2.22, ""largest_free_sphere_c_izc"": 7.42, ""largest_included_sphere_a"": 7.20866, ""largest_included_sphere_b"": 7.26468, ""largest_included_sphere_c"": 7.34222, ""largest_included_sphere_fsp"": 7.34222, ""largest_included_sphere_izc"": 8.3, ""chan_num_channels"": 1.0, ""density"": 1.79024, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
2,AFI,,,SSZ-24,,,success,16.9,6.7218,14.07,7.34222,"{""volume"": 1337.542229444557, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 4.0, ""framework_density"": 16.9, ""largest_free_sphere"": 6.7218, ""accessible_volume_izc"": 14.07, ""largest_free_sphere_a"": 1.17144, ""largest_free_sphere_b"": 1.16073, ""largest_free_sphere_c"": 6.7218, ""largest_free_sphere_izc"": 7.42, ""largest_included_sphere"": 7.34222, ""largest_free_sphere_a_izc"": 2.22, ""largest_free_sphere_b_izc"": 2.22, ""largest_free_sphere_c_izc"": 7.42, ""largest_included_sphere_a"": 7.20866, ""largest_included_sphere_b"": 7.26468, ""largest_included_sphere_c"": 7.34222, ""largest_included_sphere_fsp"": 7.34222, ""largest_included_sphere_izc"": 8.3, ""chan_num_channels"": 1.0, ""density"": 1.79024, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
3,AFI,,,SSZ-24,,,success,16.9,6.7218,14.07,7.34222,"{""volume"": 1337.542229444557, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 4.0, ""framework_density"": 16.9, ""largest_free_sphere"": 6.7218, ""accessible_volume_izc"": 14.07, ""largest_free_sphere_a"": 1.17144, ""largest_free_sphere_b"": 1.16073, ""largest_free_sphere_c"": 6.7218, ""largest_free_sphere_izc"": 7.42, ""largest_included_sphere"": 7.34222, ""largest_free_sphere_a_izc"": 2.22, ""largest_free_sphere_b_izc"": 2.22, ""largest_free_sphere_c_izc"": 7.42, ""largest_included_sphere_a"": 7.20866, ""largest_included_sphere_b"": 7.26468, ""largest_included_sphere_c"": 7.34222, ""largest_included_sphere_fsp"": 7.34222, ""largest_included_sphere_izc"": 8.3, ""chan_num_channels"": 1.0, ""density"": 1.79024, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
4,AFI,,,SSZ-24,,,success,16.9,6.7218,14.07,7.34222,"{""volume"": 1337.542229444557, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 4.0, ""framework_density"": 16.9, ""largest_free_sphere"": 6.7218, ""accessible_volume_izc"": 14.07, ""largest_free_sphere_a"": 1.17144, ""largest_free_sphere_b"": 1.16073, ""largest_free_sphere_c"": 6.7218, ""largest_free_sphere_izc"": 7.42, ""largest_included_sphere"": 7.34222, ""largest_free_sphere_a_izc"": 2.22, ""largest_free_sphere_b_izc"": 2.22, ""largest_free_sphere_c_izc"": 7.42, ""largest_included_sphere_a"": 7.20866, ""largest_included_sphere_b"": 7.26468, ""largest_included_sphere_c"": 7.34222, ""largest_included_sphere_fsp"": 7.34222, ""largest_included_sphere_izc"": 8.3, ""chan_num_channels"": 1.0, ""density"": 1.79024, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
5,,,,,,,failed_amorphous,,,,,
6,BPH,,,UZM-4,,,success,14.6,5.58367,21.65,8.95063,"{""volume"": 1886.5998420759008, ""ring_size_0"": 12.0, ""ring_size_1"": 8.0, ""ring_size_2"": 6.0, ""ring_size_3"": 4.0, ""framework_density"": 14.6, ""largest_free_sphere"": 5.58367, ""accessible_volume_izc"": 21.65, ""largest_free_sphere_a"": 2.9541, ""largest_free_sphere_b"": 2.9541, ""largest_free_sphere_c"": 5.58367, ""largest_free_sphere_izc"": 6.01, ""largest_included_sphere"": 8.95063, ""largest_free_sphere_a_izc"": 3.51, ""largest_free_sphere_b_izc"": 3.51, ""largest_free_sphere_c_izc"": 6.01, ""largest_included_sphere_a"": 8.95063, ""largest_included_sphere_b"": 8.95063, ""largest_included_sphere_c"": 8.95063, ""largest_included_sphere_fsp"": 8.95063, ""largest_included_sphere_izc"": 9.51, ""chan_num_channels"": 1.0, ""density"": 1.48076, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
7,UFI,,,UZM-5,,,success,15.2,3.16276,19.74,9.0016,"{""volume"": 4082.7984964056777, ""ring_size_0"": 8.0, ""ring_size_1"": 6.0, ""ring_size_2"": 4.0, ""framework_density"": 15.2, ""largest_free_sphere"": 3.16276, ""accessible_volume_izc"": 19.74, ""largest_free_sphere_a"": 3.16275, ""largest_free_sphere_b"": 3.16276, ""largest_free_sphere_c"": 1.33068, ""largest_free_sphere_izc"": 3.89, ""largest_included_sphere"": 9.0016, ""largest_free_sphere_a_izc"": 3.89, ""largest_free_sphere_b_izc"": 3.89, ""largest_free_sphere_c_izc"": 1.88, ""largest_included_sphere_a"": 8.98851, ""largest_included_sphere_b"": 8.99155, ""largest_included_sphere_c"": 8.99743, ""largest_included_sphere_fsp"": 8.99155, ""largest_included_sphere_izc"": 10.09, ""chan_num_channels"": 2.0, ""density"": 1.56398, ""sa_num_channels"": 2.0, ""avol_num_channels"": 2.0}"
8,,,,,,,failed_amorphous,,,,,
9,AFI,,,TAPO-5,,,success,16.9,6.7218,14.07,7.34222,"{""volume"": 1337.542229444557, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 4.0, ""framework_density"": 16.9, ""largest_free_sphere"": 6.7218, ""accessible_volume_izc"": 14.07, ""largest_free_sphere_a"": 1.17144, ""largest_free_sphere_b"": 1.16073, ""largest_free_sphere_c"": 6.7218, ""largest_free_sphere_izc"": 7.42, ""largest_included_sphere"": 7.34222, ""largest_free_sphere_a_izc"": 2.22, ""largest_free_sphere_b_izc"": 2.22, ""largest_free_sphere_c_izc"": 7.42, ""largest_included_sphere_a"": 7.20866, ""largest_included_sphere_b"": 7.26468, ""largest_included_sphere_c"": 7.34222, ""largest_included_sphere_fsp"": 7.34222, ""largest_included_sphere_izc"": 8.3, ""chan_num_channels"": 1.0, ""density"": 1.79024, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
10,,,,,,,failed_amorphous,,,,,
11,BEC,,,ITQ-17,,,success,15.1,5.8123,21.18,6.31016,"{""volume"": 2073.2101507621255, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 5.0, ""ring_size_3"": 4.0, ""framework_density"": 15.1, ""largest_free_sphere"": 5.8123, ""accessible_volume_izc"": 21.18, ""largest_free_sphere_a"": 5.55914, ""largest_free_sphere_b"": 5.56135, ""largest_free_sphere_c"": 5.8123, ""largest_free_sphere_izc"": 6.09, ""largest_included_sphere"": 6.31016, ""largest_free_sphere_a_izc"": 6.09, ""largest_free_sphere_b_izc"": 6.09, ""largest_free_sphere_c_izc"": 6.09, ""largest_included_sphere_a"": 6.20314, ""largest_included_sphere_b"": 6.19435, ""largest_included_sphere_c"": 6.31016, ""largest_included_sphere_fsp"": 6.31016, ""largest_included_sphere_izc"": 6.95, ""chan_num_channels"": 1.0, ""density"": 1.53998, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
12,BEC,,,ITQ-17,,,success,15.1,5.8123,21.18,6.31016,"{""volume"": 2073.2101507621255, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 5.0, ""ring_size_3"": 4.0, ""framework_density"": 15.1, ""largest_free_sphere"": 5.8123, ""accessible_volume_izc"": 21.18, ""largest_free_sphere_a"": 5.55914, ""largest_free_sphere_b"": 5.56135, ""largest_free_sphere_c"": 5.8123, ""largest_free_sphere_izc"": 6.09, ""largest_included_sphere"": 6.31016, ""largest_free_sphere_a_izc"": 6.09, ""largest_free_sphere_b_izc"": 6.09, ""largest_free_sphere_c_izc"": 6.09, ""largest_included_sphere_a"": 6.20314, ""largest_included_sphere_b"": 6.19435, ""largest_included_sphere_c"": 6.31016, ""largest_included_sphere_fsp"": 6.31016, ""largest_included_sphere_izc"": 6.95, ""chan_num_channels"": 1.0, ""density"": 1.53998, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
13,BEC,,,ITQ-17,,,success,15.1,5.8123,21.18,6.31016,"{""volume"": 2073.2101507621255, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 5.0, ""ring_size_3"": 4.0, ""framework_density"": 15.1, ""largest_free_sphere"": 5.8123, ""accessible_volume_izc"": 21.18, ""largest_free_sphere_a"": 5.55914, ""largest_free_sphere_b"": 5.56135, ""largest_free_sphere_c"": 5.8123, ""largest_free_sphere_izc"": 6.09, ""largest_included_sphere"": 6.31016, ""largest_free_sphere_a_izc"": 6.09, ""largest_free_sphere_b_izc"": 6.09, ""largest_free_sphere_c_izc"": 6.09, ""largest_included_sphere_a"": 6.20314, ""largest_included_sphere_b"": 6.19435, ""largest_included_sphere_c"": 6.31016, ""largest_included_sphere_fsp"": 6.31016, ""largest_included_sphere_izc"": 6.95, ""chan_num_channels"": 1.0, ""density"": 1.53998, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
14,BEC,,,ITQ-17,,,success,15.1,5.8123,21.18,6.31016,"{""volume"": 2073.2101507621255, ""ring_size_0"": 12.0, ""ring_size_1"": 6.0, ""ring_size_2"": 5.0, ""ring_size_3"": 4.0, ""framework_density"": 15.1, ""largest_free_sphere"": 5.8123, ""accessible_volume_izc"": 21.18, ""largest_free_sphere_a"": 5.55914, ""largest_free_sphere_b"": 5.56135, ""largest_free_sphere_c"": 5.8123, ""largest_free_sphere_izc"": 6.09, ""largest_included_sphere"": 6.31016, ""largest_free_sphere_a_izc"": 6.09, ""largest_free_sphere_b_izc"": 6.09, ""largest_free_sphere_c_izc"": 6.09, ""largest_included_sphere_a"": 6.20314, ""largest_included_sphere_b"": 6.19435, ""largest_included_sphere_c"": 6.31016, ""largest_included_sphere_fsp"": 6.31016, ""largest_included_sphere_izc"": 6.95, ""chan_num_channels"": 1.0, ""density"": 1.53998, ""sa_num_channels"": 1.0, ""avol_num_channels"": 1.0}"
