feature,rf_importance
cryst_time,0.13474406869228928
si_ratio_to_t,0.09857203662941616
al_ratio_to_t,0.08921351839074307
cryst_temp,0.0834574467145131
na_ratio_to_t,0.07912664074841384
f_ratio_to_t,0.04274102461391431
p_ratio_to_t,0.027303327393036855
k_ratio_to_t,0.024082628313541483
ge_ratio_to_t,0.02133369915075784
b_ratio_to_t,0.01038720619689466
li_ratio_to_t,0.0065020556668448646
zn_ratio_to_t,0.005068073075476017
osda_getaway_mean_230,0.004739899651510262
osda_getaway_mean_98,0.004337558367369875
co_ratio_to_t,0.004259459336568517
ti_ratio_to_t,0.004189252026093787
cs_ratio_to_t,0.003844757067402565
osda_getaway_mean_191,0.0038228416815671708
osda_box_std_9,0.003776897285794861
ga_ratio_to_t,0.003490543239432133
osda_getaway_mean_36,0.003401250500833594
osda_getaway_mean_138,0.00339315017443002
osda_getaway_mean_141,0.003348929051473809
osda_getaway_mean_3,0.003279799885689754
fe_ratio_to_t,0.0032649832929014548
osda_getaway_mean_97,0.003228626909548145
osda_getaway_mean_37,0.003168222457016361
osda_getaway_mean_233,0.0029394418884611632
mg_ratio_to_t,0.0028479676528581793
v_ratio_to_t,0.002552269679037224
osda_spherocity_index_std_0,0.002438775944942612
osda_getaway_mean_194,0.0023383893182756963
osda_whim_mean_52,0.0022979169306587815
osda_whim_mean_10,0.0022658565777994824
osda_getaway_mean_143,0.0022532442185965616
osda_whim_mean_92,0.0022357236619366884
osda_getaway_mean_152,0.002207673845599846
osda_getaway_mean_255,0.0021601465697580137
osda_whim_mean_102,0.002157358496582003
osda_whim_mean_43,0.0020968570705112476
osda_getaway_mean_124,0.002008492721336954
cu_ratio_to_t,0.0020054889922180032
osda_box_std_8,0.0019901242031927667
osda_getaway_mean_121,0.0019850375711593553
osda_whim_mean_100,0.0019716971848441896
osda_whim_mean_24,0.001952600963873495
osda_getaway_mean_18,0.0018283725372096602
osda_whim_mean_33,0.0018271164437796221
osda_getaway_mean_34,0.0017875847868520553
osda_getaway_mean_57,0.0017521710529510384
osda_getaway_mean_40,0.0016839263568081406
osda_whim_mean_35,0.0016707173244306852
osda_whim_mean_65,0.001666546275643015
mn_ratio_to_t,0.0016329661917591587
osda_box_mean_4,0.0016203507957193394
osda_getaway_mean_148,0.0015697323651461708
osda_getaway_mean_202,0.0015432738102997565
osda_getaway_mean_206,0.0015249786058106213
osda_getaway_mean_52,0.0015199051744969804
sr_ratio_to_t,0.0014709113737496641
osda_whim_mean_104,0.0014517262711990788
osda_getaway_mean_238,0.0014405898309844546
osda_whim_mean_105,0.0014260059280857603
osda_getaway_mean_27,0.0013925301555704525
osda_getaway_mean_64,0.0013622247799283038
osda_whim_mean_94,0.0012988396062683133
osda_getaway_mean_12,0.0012825046339361833
osda_getaway_mean_72,0.0012735731223022884
osda_whim_mean_41,0.0012400735821251703
osda_getaway_mean_63,0.0012210741586520225
osda_whim_mean_106,0.0012176168656092524
osda_getaway_mean_102,0.0011988919206013231
osda_npr2_std_0,0.0011801270579572345
osda_getaway_mean_58,0.0011709572879986955
osda_getaway_mean_175,0.0011630367051086452
osda_getaway_mean_59,0.001162041309197591
osda_getaway_mean_171,0.0011567593260820804
ni_ratio_to_t,0.0011460374492458974
osda_box_std_7,0.0011438138472906591
osda_whim_mean_32,0.0011385018348293232
osda_getaway_mean_236,0.001129599934498431
osda_whim_mean_68,0.0011197764333391045
osda_getaway_mean_19,0.0011128062825548804
osda_getaway_mean_267,0.001103783792936063
osda_getaway_mean_61,0.0010994908456282428
osda_whim_mean_8,0.0010968435007342996
osda_axes_mean_0,0.001093295645582541
osda_box_mean_5,0.0010753307101956935
osda_whim_mean_31,0.0010745386705313547
osda_getaway_mean_54,0.0010695061685041425
osda_getaway_mean_78,0.0010546489712546122
osda_whim_mean_0,0.0010476860992312494
osda_getaway_mean_55,0.0010389900958306692
osda_getaway_mean_80,0.0010224918218165917
osda_whim_mean_76,0.0010220309074103903
osda_getaway_mean_25,0.0010152893328318408
osda_axes_std_1,0.0010150346360595882
osda_whim_mean_23,0.0010002608394193949
osda_getaway_mean_95,0.0009896297549641397
osda_getaway_mean_24,0.0009892166029441905
osda_whim_mean_44,0.0009837353938095302
osda_whim_mean_69,0.0009732971083346834
osda_whim_mean_46,0.0009709041438950046
osda_box_std_1,0.0009694384786902828
