class,feature,mean_abs_shap
*-ITN,cryst_time,0.0003391047381594291
*-ITN,al_ratio_to_t,9.709705507929003e-05
*-ITN,cryst_temp,9.018945143359229e-05
*-ITN,osda_getaway_mean_60,7.400247957672858e-05
*-ITN,si_ratio_to_t,7.249053333072554e-05
*-ITN,osda_getaway_mean_143,6.011905136695739e-05
*-ITN,osda_getaway_mean_130,5.1551931946386946e-05
*-ITN,osda_whim_mean_16,3.680000578517842e-05
*-ITN,osda_getaway_mean_80,3.676093363335567e-05
*-ITN,osda_getaway_mean_233,3.585302124026595e-05
*-ITN,osda_getaway_mean_242,3.493235385941567e-05
*-ITN,osda_getaway_mean_191,3.278509414315328e-05
*-ITN,osda_getaway_mean_25,3.0099740503350845e-05
*-ITN,osda_getaway_mean_83,2.8721750895638988e-05
*-ITN,osda_getaway_mean_16,2.852390528252043e-05
*-ITN,osda_whim_mean_47,2.8427558570102234e-05
*-ITN,osda_getaway_mean_255,2.833490123649163e-05
*-ITN,osda_getaway_mean_38,2.771714951464492e-05
*-ITN,osda_getaway_mean_149,2.7713312696534414e-05
*-ITN,osda_getaway_mean_238,2.727383213999395e-05
*-SVY,b_ratio_to_t,0.0007476111958975363
*-SVY,al_ratio_to_t,0.0006680490747511306
*-SVY,osda_getaway_mean_98,0.000539131765221375
*-SVY,cryst_temp,0.00048703306551832666
*-SVY,si_ratio_to_t,0.0004053758170373316
*-SVY,cryst_time,0.0003819453675074666
*-SVY,na_ratio_to_t,0.00035201110066168906
*-SVY,osda_getaway_mean_230,0.0003360041461027028
*-SVY,osda_getaway_mean_220,0.000299029517217802
*-SVY,osda_getaway_mean_72,0.0002803410805846047
*-SVY,osda_getaway_mean_184,0.0002697622498256426
*-SVY,osda_getaway_mean_112,0.00025731294532926657
*-SVY,osda_getaway_mean_130,0.00023645666500593952
*-SVY,osda_whim_mean_52,0.00023273596619768496
*-SVY,osda_whim_mean_33,0.0002207802633674153
*-SVY,p_ratio_to_t,0.00019692297845416465
*-SVY,osda_getaway_mean_124,0.0001901214187669368
*-SVY,osda_getaway_mean_191,0.00018294476218033001
*-SVY,f_ratio_to_t,0.00018013540915943804
*-SVY,osda_whim_mean_63,0.00017569372626593721
*BEA,si_ratio_to_t,0.008298695779321892
*BEA,cryst_temp,0.005344476313584591
*BEA,al_ratio_to_t,0.004605588353621371
*BEA,cryst_time,0.0035105865855085618
*BEA,f_ratio_to_t,0.0031979339058366076
*BEA,p_ratio_to_t,0.002269819663176106
*BEA,na_ratio_to_t,0.001934196423028481
*BEA,k_ratio_to_t,0.001714219020102589
*BEA,osda_getaway_mean_191,0.0014493359898694379
*BEA,ge_ratio_to_t,0.0013149970845465053
*BEA,osda_getaway_mean_143,0.001186763921570596
*BEA,osda_whim_mean_104,0.0011330711122231564
*BEA,osda_getaway_mean_34,0.0010962131686909685
*BEA,osda_getaway_mean_175,0.00108569140738983
*BEA,osda_whim_mean_52,0.0010195599881736438
*BEA,osda_getaway_mean_255,0.0010191876177895302
*BEA,osda_getaway_mean_124,0.0009985635175986526
*BEA,osda_getaway_mean_233,0.0009455058752374248
*BEA,osda_getaway_mean_220,0.0009015738890385737
*BEA,osda_getaway_mean_98,0.0007900857733001486
*BEA/BEC,k_ratio_to_t,7.665065924701634e-05
*BEA/BEC,f_ratio_to_t,7.164255928553951e-05
*BEA/BEC,cryst_temp,4.261649356448639e-05
*BEA/BEC,si_ratio_to_t,1.850532271004921e-05
*BEA/BEC,cryst_time,1.743213452339529e-05
*BEA/BEC,osda_getaway_mean_181,1.1323871634764682e-05
*BEA/BEC,osda_getaway_mean_22,8.144267730757146e-06
