feature,mean_abs_shap
si_ratio_to_t,0.0006619526471968928
al_ratio_to_t,0.0006012606160236857
cryst_temp,0.0005728379197824881
cryst_time,0.0005460014458393422
na_ratio_to_t,0.00041087027700627407
f_ratio_to_t,0.00030918057030474754
ge_ratio_to_t,0.00020259323722343034
p_ratio_to_t,0.00019547061505946267
k_ratio_to_t,0.0001727679582036868
osda_getaway_mean_191,0.00015924351741326126
osda_getaway_mean_98,0.00010296500261406934
osda_getaway_mean_233,0.00010024223537161734
osda_whim_mean_33,8.440926225551252e-05
osda_getaway_mean_143,7.918755990776368e-05
osda_whim_mean_52,7.680246871870523e-05
osda_getaway_mean_230,7.582366850341152e-05
osda_getaway_mean_255,7.128502748783906e-05
osda_getaway_mean_124,6.986381041203353e-05
b_ratio_to_t,6.784492266212252e-05
osda_getaway_mean_37,6.605160398015439e-05
osda_getaway_mean_40,6.46438656339591e-05
osda_getaway_mean_34,6.46010928957862e-05
osda_getaway_mean_138,6.26947876799001e-05
osda_box_std_9,6.244661595514303e-05
osda_getaway_mean_36,6.037213075025379e-05
osda_getaway_mean_3,6.0074792918262896e-05
osda_getaway_mean_97,5.7910353733793646e-05
osda_getaway_mean_27,5.381169728529196e-05
osda_getaway_mean_141,5.334324858350148e-05
osda_whim_mean_104,5.2386289568326636e-05
li_ratio_to_t,5.210036612045866e-05
osda_whim_mean_94,5.0515514897564635e-05
osda_getaway_mean_171,4.956728654003606e-05
osda_getaway_mean_148,4.867787177322532e-05
osda_getaway_mean_52,4.8551584417291975e-05
osda_getaway_mean_202,4.721894850159122e-05
ti_ratio_to_t,4.719049838118183e-05
osda_whim_mean_102,4.641598976944636e-05
osda_getaway_mean_238,4.61251856947813e-05
osda_getaway_mean_175,4.590678628111625e-05
osda_whim_mean_100,4.589154154610924e-05
osda_getaway_mean_121,4.396367672882299e-05
osda_whim_mean_0,4.3136648153794445e-05
osda_getaway_mean_12,4.254594607851603e-05
osda_getaway_mean_57,4.1645800001498076e-05
osda_getaway_mean_102,4.099015409910791e-05
osda_whim_mean_31,4.0303086932067756e-05
osda_getaway_mean_64,4.0216639741849884e-05
osda_getaway_mean_18,4.0042966763284573e-05
osda_getaway_mean_72,3.9941718751989515e-05
osda_getaway_mean_54,3.9808024343412874e-05
osda_getaway_mean_59,3.904453835739157e-05
osda_getaway_mean_63,3.822926891013862e-05
osda_whim_mean_92,3.817679614759058e-05
osda_getaway_mean_19,3.807551334328052e-05
cs_ratio_to_t,3.7428134744105564e-05
osda_spherocity_index_std_0,3.734278473991177e-05
osda_axes_mean_1,3.7145530279017383e-05
osda_getaway_mean_55,3.706125030273567e-05
osda_getaway_mean_61,3.7008128218370344e-05
osda_whim_mean_84,3.693005960036498e-05
osda_whim_mean_24,3.692998591105721e-05
osda_whim_mean_10,3.6220592105394665e-05
osda_getaway_mean_152,3.6127867376459436e-05
osda_whim_mean_35,3.601145556098875e-05
osda_whim_mean_44,3.5858813480376e-05
osda_getaway_mean_194,3.5801819291065415e-05
osda_whim_mean_43,3.4639801736146484e-05
osda_getaway_mean_25,3.4303495740871205e-05
osda_whim_mean_86,3.402155758158941e-05
zn_ratio_to_t,3.362665440383489e-05
osda_getaway_mean_190,3.346314526095066e-05
osda_whim_mean_69,3.3442670315666874e-05
osda_getaway_mean_236,3.312665225987103e-05
osda_npr1_mean_0,3.310145238378425e-05
osda_whim_mean_105,3.3077127571561315e-05
osda_box_std_8,3.263040007638541e-05
osda_whim_mean_85,3.257814779924977e-05
osda_box_mean_0,3.2415520405344205e-05
osda_getaway_mean_142,3.235971682738566e-05
osda_getaway_mean_153,3.2332764967174736e-05
osda_getaway_mean_113,3.207023364982262e-05
osda_whim_mean_41,3.185641641052689e-05
osda_whim_mean_8,3.137261355396363e-05
osda_getaway_mean_130,3.134139255129488e-05
osda_box_mean_4,3.099848666764841e-05
osda_getaway_mean_50,3.0910587096662444e-05
osda_whim_mean_55,3.088857415972063e-05
osda_getaway_mean_201,3.054409803892131e-05
osda_getaway_mean_258,3.048175564609909e-05
osda_box_std_7,2.9781530582923475e-05
